link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_plf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
1,0,0,1,2,-1,-1,1,,0,0.006000,60.000000,51.000000,0.006000,25900.200640,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",
2,1,0,1,3,-1,-1,1,,0,0.004000,60.000000,51.000000,0.004000,23403.473190,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",
3,2,0,2,1,-1,-1,1,,0,0.006000,60.000000,51.000000,0.006000,25900.200640,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",
4,3,0,2,6,-1,-1,1,,0,0.005000,60.000000,51.000000,0.005000,4958.180928,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",
5,4,0,3,1,-1,-1,1,,0,0.004000,60.000000,51.000000,0.004000,23403.473190,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",
6,5,0,3,4,-1,-1,1,,0,0.004000,60.000000,51.000000,0.004000,17110.523720,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",
7,6,0,3,12,-1,-1,1,,0,0.004000,60.000000,51.000000,0.004000,23403.473190,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",
8,7,0,4,3,-1,-1,1,,0,0.004000,60.000000,51.000000,0.004000,17110.523720,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",
9,8,0,4,5,-1,-1,1,,0,0.002000,60.000000,51.000000,0.002000,17782.794100,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",
10,9,0,4,11,-1,-1,1,,0,0.006000,60.000000,51.000000,0.006000,4908.826730,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",
11,10,0,5,4,-1,-1,1,,0,0.002000,60.000000,51.000000,0.002000,17782.794100,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",
