from_stop_id,to_stop_id,transfer_type,min_transfer_time
KCY,KCY,2,3600
KEE,KEE,0,
KEL,KEL,0,
KFS,KFS,3,
KIN,KIN,0,
KIS,KIS,0,
KKI,KKI,0,
KNG,KNG,3,
KTR,KTR,0,
KWD,KWD,0,
LAB,LAB,0,
LAF,LAF,0,
LAG,LAG,0,
LAJ,LAJ,0,
LAK,LAK,0,
LAP,LAP,0,
LAU,LAU,0,
LAX,LAX,3,
LCH,LCH,0,
LCN,LCN,0,
LDB,LDB,0,
LEE,LEE,0,
LEW,LEW,0,
LFT,LFT,0,
LIB,LIB,0,
LKL,LKL,3,
LMR,LMR,0,
LMY,LMY,3,
LNC,LNC,3,
LNK,LNK,0,
LNS,LNS,0,
LOD,LOD,0,
LOR,LOR,0,
LPE,LPE,0,
LPS,LPS,0,
LRC,LRC,0,
LRK,LRK,0,
LSE,LSE,0,
LSV,LSV,0,
LVW,LVW,2,60
LWA,LWA,0,
LYH,LYH,2,10
MAC,MAC,0,
MAL,MAL,0,
MAT,MAT,0,
MAY,MAY,0,
MCB,MCB,0,
MCD,MCD,3,
MCG,MCG,0,
MCI,MCI,0,
MCK,MCK,0,
MDN,MDN,0,
MDR,MDR,0,
MDT,MDT,0,
MEI,MEI,0,
MEM,MEM,0,
MET,MET,0,
MHL,MHL,0,
MIA,MIA,0,
MID,MID,0,
MIN,MIN,0,
MJY,MJY,0,
MKA,MKA,0,
MKE,MKE,3,
MNG,MNG,0,
MOD,MOD,3,
MOT,MOT,2,5
MPK,MPK,0,
MPR,MPR,0,
MRB,MRB,0,
MRC,MRC,0,
MSP,MSP,3,
MSS,MSS,0,
MTP,MTP,0,
MTR,MTR,0,
MTZ,MTZ,3,
MVN,MVN,0,
MVW,MVW,0,
MYS,MYS,0,
NBK,NBK,0,
NBN,NBN,0,
NBU,NBU,0,
NCR,NCR,0,
NDL,NDL,0,
NEW,NEW,0,
NFK,NFK,0,
NFL,NFL,0,
NFS,NFS,0,
NHV,NHV,2,3600
NIB,NIB,0,
NLC,NLC,3,
NLS,NLS,0,
NOL,NOL,2,3600
NOR,NOR,0,
NPN,NPN,3,
NPV,NPV,0,
NRK,NRK,0,
NRO,NRO,0,
NWK,NWK,2,1800
NYP,NYP,2,3600
OAC,OAC,0,
OKC,OKC,0,
OKE,OKE,0,
OKJ,OKJ,3,
OKL,OKL,0,
OLT,OLT,0,
OLW,OLW,0,
OMA,OMA,0,
ONA,ONA,0,
ORB,ORB,0,
ORC,ORC,0,
ORL,ORL,3,
OSB,OSB,0,
OSC,OSC,2,5
OSD,OSD,3,
OTM,OTM,0,
OXN,OXN,3,
PAK,PAK,0,
PAO,PAO,0,
PAR,PAR,0,
PBF,PBF,0,
PCT,PCT,0,
PDX,PDX,3,
PGH,PGH,2,3600
PHL,PHL,2,3600
PHN,PHN,0,
PIC,PIC,0,
PIT,PIT,0,
PJC,PJC,0,
PLB,PLB,0,
PLO,PLO,0,
PNT,PNT,0,
POG,POG,3,
POH,POH,0,
POI,POI,0,
PON,PON,0,
POR,POR,3,
POS,POS,0,
POU,POU,0,
PRB,PRB,3,
PRC,PRC,0,
PRK,PRK,0,
PRO,PRO,0,
PSC,PSC,3,
PSN,PSN,0,
PTB,PTB,2,60
PTH,PTH,0,
PUR,PUR,0,
PVD,PVD,0,
PVL,PVL,0,
QAN,QAN,0,
QCY,QCY,0,
RAT,RAT,3,
RDD,RDD,0,
RDW,RDW,0,
REN,REN,0,
RGH,RGH,2,3600
RHI,RHI,0,
RIC,RIC,3,
RIV,RIV,0,
RKV,RKV,0,
RLN,RLN,0,
RMT,RMT,3,
RNO,RNO,3,
ROC,ROC,0,
ROM,ROM,0,
ROY,ROY,0,
RPH,RPH,0,
RSP,RSP,0,
RSV,RSV,0,
RTE,RTE,0,
RTL,RTL,0,
RUD,RUD,0,
RUG,RUG,0,
RVM,RVM,0,
RVR,RVR,2,3600
SAB,SAB,0,
SAC,SAC,3,
SAL,SAL,0,
SAN,SAN,3,
SAO,SAO,0,
SAR,SAR,3,
SAS,SAS,2,3600
SAV,SAV,2,3600
SBA,SBA,3,
SBG,SBG,0,
SBY,SBY,0,
SCA,SCA,0,
SCC,SCC,0,
SCD,SCD,0,
SCH,SCH,0,
SDL,SDL,0,
SDY,SDY,3,
SEA,SEA,3,
SED,SED,0,
SFA,SFA,0,
SIM,SIM,0,
SJC,SJC,3,
SJM,SJM,0,
SKN,SKN,3,
SKT,SKT,3,
SKY,SKY,0,
SLC,SLC,3,
SLM,SLM,0,
SLO,SLO,3,
SLQ,SLQ,0,
SMC,SMC,0,
SMT,SMT,0,
SNA,SNA,3,
SNB,SNB,3,
SNC,SNC,0,
SND,SND,0,
SNP,SNP,0,
SNS,SNS,3,
SOB,SOB,0,
SOL,SOL,0,
SOP,SOP,0,
SPB,SPB,0,
SPG,SPG,2,3600
SPI,SPI,3,
SPK,SPK,2,3600
SPL,SPL,0,
SPM,SPM,0,
SPT,SPT,0,
SRB,SRB,0,
SSM,SSM,3,
STA,STA,0,
STL,STL,2,3600
STM,STM,0,
STN,STN,0,
STW,STW,0,
SUI,SUI,3,
SVT,SVT,0,
SYR,SYR,0,
TAC,TAC,0,
TAY,TAY,0,
TCA,TCA,0,
TCL,TCL,0,
THN,THN,0,
TOH,TOH,0,
TOL,TOL,2,3600
TOP,TOP,0,
TPA,TPA,3,
TPL,TPL,3,
TRE,TRE,2,3600
TRI,TRI,0,
TRK,TRK,0,
TRU,TRU,0,
TUK,TUK,0,
TUS,TUS,0,
TWO,TWO,0,
TXA,TXA,0,
TYR,TYR,0,
UCA,UCA,0,
VAC,VAC,3,
VAN,VAN,3,
VEC,VEC,0,
VNC,VNC,3,
VRV,VRV,0,
WAB,WAB,0,
WAC,WAC,0,
WAH,WAH,0,
WAR,WAR,0,
WAS,WAS,2,3600
WBG,WBG,0,
WDB,WDB,0,
WDL,WDL,0,
WEM,WEM,0,
WEN,WEN,3,
WFD,WFD,0,
WFH,WFH,0,
WGL,WGL,0,
WHL,WHL,0,
WIH,WIH,0,
WIL,WIL,3,
WIN,WIN,0,
WIP,WIP,0,
WLN,WLN,3,
WLO,WLO,0,
WLY,WLY,0,
WMJ,WMJ,3,
WND,WND,0,
WNL,WNL,0,
WNM,WNM,0,
WNN,WNN,0,
WNR,WNR,0,
WOB,WOB,0,
WOR,WOR,0,
WPB,WPB,0,
WPK,WPK,0,
WPT,WPT,0,
WRJ,WRJ,0,
WSP,WSP,3,
WSS,WSS,0,
WTH,WTH,3,
WTI,WTI,0,
WTN,WTN,2,60
YAZ,YAZ,0,
YEM,YEM,0,
YNY,YNY,0,
YUM,YUM,0,
