name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type,VDF_alpha,VDF_beta,ref_volume,VDF_preload,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,geometry
,1,1,2,1,6,1,25900.20064,60,1,0.15,4,5083.214,,,,,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)"
,2,1,3,1,4,1,23403.47319,60,1,0.15,4,8782.614,,,,,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)"
,3,2,1,1,6,1,25900.20064,60,1,0.15,4,5182.613,,,,,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)"
,4,2,6,1,5,1,4958.180928,60,1,0.15,4,5483.214,,,,,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)"
,5,3,1,1,4,1,23403.47319,60,1,0.15,4,8683.215,,,,,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)"
,6,3,4,1,4,1,17110.52372,60,1,0.15,4,14796.577,,,,,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)"
,7,3,12,1,4,1,23403.47319,60,1,0.15,4,10373.788,,,,,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)"
,8,4,3,1,4,1,17110.52372,60,1,0.15,4,14791.177,,,,,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)"
,9,4,5,1,2,1,17782.7941,60,1,0.15,4,18945.744,,,,,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)"
,10,4,11,1,6,1,4908.82673,60,1,0.15,4,5240.831,,,,,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)"
,11,5,4,1,2,1,17782.7941,60,1,0.15,4,18832.006,,,,,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)"
,12,5,6,1,4,1,4947.995469,60,1,0.15,4,8554.285,,,,,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)"
,13,5,9,1,5,1,10000,60,1,0.15,4,15714.926,,,,,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)"
,14,6,2,1,5,1,4958.180928,60,1,0.15,4,5582.613,,,,,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)"
,15,6,5,1,4,1,4947.995469,60,1,0.15,4,8519.162,,,,,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)"
,16,6,8,1,2,1,4898.587646,60,1,0.15,4,12837.499,,,,,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)"
,17,7,8,1,3,1,7841.81131,60,1,0.15,4,12616.312,,,,,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)"
,18,7,18,1,2,1,23403.47319,60,1,0.15,4,15620.555,,,,,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)"
,19,8,6,1,2,1,4898.587646,60,1,0.15,4,12901.775,,,,,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)"
,20,8,7,1,3,1,7841.81131,60,1,0.15,4,12528.57,,,,,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)"
,21,8,9,1,10,1,5050.193156,60,1,0.15,4,7211.184,,,,,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)"
,22,8,16,1,5,1,5045.822583,60,1,0.15,4,8565.569,,,,,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)"
,23,9,5,1,5,1,10000,60,1,0.15,4,15636.311,,,,,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)"
,24,9,8,1,10,1,5050.193156,60,1,0.15,4,7156.641,,,,,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)"
,25,9,10,1,3,1,13915.78842,60,1,0.15,4,21936.92,,,,,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)"
,26,10,9,1,3,1,13915.78842,60,1,0.15,4,21903.76,,,,,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)"
,27,10,11,1,5,1,10000,60,1,0.15,4,17616.918,,,,,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)"
,28,10,15,1,6,1,13512.00155,60,1,0.15,4,22471.785,,,,,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)"
,29,10,16,1,4,1,4854.917717,60,1,0.15,4,11370.813,,,,,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)"
,30,10,17,1,8,1,4993.510694,60,1,0.15,4,8099.999,,,,,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)"
