link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,person_vol_dms,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
359,bpr,1319,11146,7.000000,0.194898,0.121130,0.345871,-1,0,,network_wide,-1,0,-1,1,2,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,33.810,21.013,1.000,0.000,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.000,0.955,1.142,-1.000,-1.000,33.810,28.739,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,0.000,0.000,0.000,33.810,33.810,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
361,bpr,1319,11147,7.000000,0.194898,0.121130,0.345871,-1,0,,network_wide,-1,0,-1,1,2,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,33.810,21.013,1.000,0.000,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.000,0.955,1.142,-1.000,-1.000,33.810,28.739,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,0.000,0.000,0.000,33.810,33.810,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
362,bpr,11147,1319,7.000000,0.194898,0.121130,0.345871,-1,0,,network_wide,-1,0,-1,1,2,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,33.810,21.013,1.000,0.000,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.000,0.955,1.142,-1.000,-1.000,33.810,28.739,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,0.000,0.000,0.000,33.810,33.810,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
363,bpr,1322,11160,7.000000,0.194898,0.121130,0.345871,-1,0,,network_wide,-1,0,-1,1,2,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,33.810,21.013,1.000,0.000,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.000,0.955,1.142,-1.000,-1.000,33.810,28.739,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,0.000,0.000,0.000,33.810,33.810,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
366,bpr,5730,1360,7.000000,0.194898,0.121130,0.345871,-1,0,,network_wide,-1,0,-1,1,2,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,33.810,21.013,1.000,0.000,0.000,10000.000,0.000,0.000,0.000,1.000,7.000,0.000,0.955,1.142,-1.000,-1.000,33.810,28.739,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,33.810,,0.000,0.000,0.000,0.000,33.810,33.810,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
367,bpr,5592,1,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
368,bpr,1,2,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
369,bpr,2,3,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
370,bpr,3,4,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
371,bpr,4,5,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
372,bpr,5,5117,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
373,bpr,5117,5,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
374,bpr,5,4,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
375,bpr,4,3,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
376,bpr,3,2,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
377,bpr,2,1,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
378,bpr,1,5592,2.000000,0.194898,0.121130,0.226978,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,-92559631349317830736831783200707727132248687965119994463780864.000,51.520,32.020,1.000,0.000,0.000,847.000,0.000,0.000,0.000,1.000,2.000,0.000,0.955,1.142,-1.000,-1.000,51.520,43.792,0.400,4.000,-1.000,-1.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,"",0.000,0.000,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,51.520,,0.000,0.000,0.000,0.000,51.520,51.520,0.000,0.000,0.000,0.000,-1.000,-1.000,period-based
